,ID,CREATED_AT,DEVICE_ID,IP_ADDRESS,USER_ID,UUID,EVENT_TYPE,EVENT_PROPERTIES,PLATFORM,DEVICE_TYPE
rec00zBW8Sl810q2n,cfa0860e83a4c3a763a7e62d825349f7,2021-05-25T06:27:31.169Z,9ef0c765d6b38947c8093cbfe783424f,78.198.148.237,2c5bcd5439b4ef5c18609a436559e70a,47e98cb482d179b3c5259738c35e347f,Button Clicked,"{
  ""label"": ""Claim Action"",
  ""questionId"": ""selected_single"",
  ""questionType"": ""SELECT_SINGLE"",
  ""screen"": ""help_claim_step"",
  ""session_id"": 1621931146392,
  ""skip"": true,
  ""stepId"": 2304950
}",iOS,Apple iPhone SE 2nd Gen
rec01JbmPykYz9TzH,d67d8ab4f4c10bf22aa353e27879133c,2021-05-06T09:57:44.058Z,243df3faff47e49550d0c8a9eb906a30,80.214.215.164,e614850c9f96ea1c08e098e7e156fa0d,53d6d44956a1757c402b1317f9be4d50,Viewed profile Screen,"{
  ""session_id"": 1620302243544
}",Android,
rec02mmmFd8FVA368,ed519dacc89b2bead3f453b0b05a4a8b,2021-05-15T10:31:18.791Z,6470df6a560de5c4f8521c654e3e70a5,195.36.207.191,eb53abba5d9c047f416b3fd7ff491349,c8c956ca1e64b242a5822dee529fb67c,Chart Load Ended,"{
  ""label"": ""preview elec"",
  ""screen"": ""protect_door_settings"",
  ""session_id"": 1621081873327
}",Android,Google Pixel 2 XL
rec02vxxDy9epGNT6,aa68c75c4a77c87f97fb686b2f068676,2021-05-11T15:59:40.810Z,061a45ed19d1ef9c871644a544c9b236,77.152.20.45,90aef91f0d9e7c3be322bd7bae41617d,b4b474a2c59c2409562852f5d32c82a1,Notification Received,"{
  ""from_background"": true,
  ""luko_landing_page"": ""DOOR_EVENTS"",
  ""luko_push_type"": ""door_event_start"",
  ""luko_url"": ""luko://protect-door"",
  ""session_id"": 1620755832387
}",Android,
rec04wajrQZUn7iIf,077e29b11be80ab57e1a2ecabb7da330,2021-05-18T09:23:42.483Z,48fef6c2623987e338a97ddf221c54ed,165.169.114.228,8071b4c2068b888519df6f9643433a5b,b312158b372238b41f58d366b4ac7c84,Viewed contract_review Screen,"{
  ""session_id"": 1621336997521,
  ""type"": ""SH""
}",iOS,
rec05GPj1AIqBxqef,0a09c8844ba8f0936c20bd791130d6b6,2021-05-20T05:04:23.814Z,51c84a726499d0e80296780c35925d89,176.130.119.170,88ca57035d308d15c0cf62f3414b3eef,ee8ebceb36efc19b4bbf6197ae3d525f,Viewed profile_paymentsMethod Screen,"{
  ""session_id"": 1621494085380
}",iOS,Apple iPhone 7
rec06rFh6HAcebuOc,f5c3dd7514bf620a1b85450d2ae374b1,2021-05-31T04:53:32.320Z,a993bfd029e08a258903b26e91a4f8a5,88.126.244.73,ab66ba6600d9c4245b3f3c52121a6da5,9ee76da54571046ab8c77d38d1aa5dd5,Chart Load Started,"{
  ""label"": ""preview elec"",
  ""screen"": ""protect_weekly"",
  ""session_id"": 1622444012080
}",Android,
rec07gxIiVgfFnAE4,ac1dd209cbcc5e5d1c6e28598e8cbbe8,2021-05-10T23:53:51.192Z,7bd4fc9e7e33c556ce1d86b882f71ebc,81.64.32.65,e4757a081c2ad63a1ffb0275f7f19219,b13b4100779737289e3c39986766508a,Application Backgrounded,"{
  ""screen"": ""contract_guarantee_detail"",
  ""session_id"": 1620698005475
}",iOS,Apple iPhone XS Max
rec084cMmSJ9O1wMn,98dce83da57b0395e163467c9dae521b,2021-05-23T06:32:58.767Z,48ad39c4071bb6a550b961aa9818eb1c,78.114.88.4,,14e5b62a9235d142391ce7c71e2f71b7,Authorization Requested,"{
  ""label"": ""Audio Recording"",
  ""screen"": ""help_claim_step"",
  ""session_id"": 1621758187242
}",Android,Xiaomi Redmi Note 8 Pro
rec08wsH4PRr5N4vM,1373b284bc381890049e92d324f56de0,2021-05-02T10:21:09.894Z,ec24cf3ef5dc40510a96213bb3dfa3dd,176.148.212.148,ce7d20740ed380b2de84d434af383142,4fb18e5aa8baa2dcfb78cf49007a8ca9,Notification Received,"{
  ""from_background"": true,
  ""luko_landing_page"": ""DOOR_EVENTS"",
  ""luko_push_type"": ""door_event_start"",
  ""luko_url"": ""luko://protect-door"",
  ""screen"": ""protect_door_events"",
  ""session_id"": 1619956525127
}",Android,
